,height,scending,wdir,wspeed
0,4.0,Ascending,132,4.0
1,4.0,Ascending,201,5.9
2,4.0,Ascending,225,10.4
3,5.0,Ascending,181,4.4
4,5.0,Ascending,193,3.4
5,5.0,Ascending,199,4.7
6,5.0,Ascending,222,3.0
7,4.0,Ascending,194,5.8
8,4.0,Ascending,195,6.0
9,4.0,Ascending,218,1.5
10,4.0,Ascending,121,5.9
11,4.0,Ascending,138,5.3
12,4.0,Ascending,139,4.2
13,4.0,Ascending,149,6.4
14,4.0,Ascending,164,4.5
15,4.0,Ascending,186,7.4
16,4.0,Ascending,96,4.2
17,4.0,Ascending,105,3.6
18,4.0,Ascending,127,5.0
19,4.0,Ascending,134,6.1
20,4.0,Ascending,146,1.2
21,4.0,Ascending,155,4.3
22,4.0,Ascending,206,3.0
23,4.0,Ascending,223,0.9
24,4.0,Ascending,215,7.0
25,4.0,Ascending,217,5.7
26,4.0,Ascending,275,3.3
27,5.0,Ascending,203,4.8
28,5.0,Ascending,205,7.9
29,5.0,Ascending,228,8.5
30,2.95,Ascending,162,4.7
31,2.95,Ascending,174,3.0
32,2.95,Ascending,196,6.7
33,2.95,Ascending,208,6.9
34,2.95,Ascending,189,3.6
35,2.95,Ascending,199,3.0
36,2.95,Ascending,203,4.2
37,2.95,Ascending,212,4.6
38,4.0,Ascending,84,5.8
39,4.0,Ascending,98,9.1
40,4.0,Ascending,125,4.3
41,3.5,Ascending,211,7.3
42,2.95,Ascending,205,4.6
43,2.95,Ascending,212,2.3
44,2.95,Ascending,226,6.9
45,2.95,Ascending,228,7.6
46,5.0,Ascending,204,5.7
47,3.1,Ascending,334,3.7
48,3.1,Ascending,348,5.5
49,5.0,Ascending,24,2.0
50,5.0,Ascending,133,7.9
51,3.1,Ascending,2,3.6
52,3.1,Ascending,15,2.7
53,5.0,Ascending,8,4.9
54,4.0,Ascending,181,7.5
55,3.4,Ascending,92,0.6
56,3.4,Ascending,124,6.2
57,5.0,Ascending,344,4.7
58,5.0,Ascending,20,8.0
59,5.0,Ascending,63,1.5
60,5.0,Ascending,151,6.3
61,5.0,Ascending,184,10.4
62,5.0,Ascending,75,5.8
63,5.0,Ascending,197,5.7
64,5.0,Ascending,197,10.8
65,3.0,Ascending,32,1.9
66,3.0,Ascending,147,3.9
67,3.0,Ascending,188,4.9
68,5.0,Ascending,96,7.4
69,5.0,Ascending,96,7.4
70,5.0,Ascending,198,12.4
71,5.0,Ascending,209,4.7
72,5.0,Ascending,90,6.6
73,5.0,Ascending,192,8.4
74,5.0,Ascending,198,3.8
75,5.0,Ascending,209,5.6
76,5.0,Ascending,213,6.4
77,5.0,Ascending,234,5.1
78,5.0,Ascending,235,3.0
79,3.0,Ascending,121,6.6
80,3.0,Ascending,240,4.5
81,3.0,Ascending,355,5.6
82,5.0,Ascending,17,4.9
83,5.0,Ascending,70,4.5
84,5.0,Ascending,82,7.1
85,5.0,Ascending,274,2.9
86,5.0,Ascending,289,5.9
87,5.0,Ascending,354,3.1
88,4.0,Ascending,78,10.7
89,5.0,Ascending,22,12.1
90,5.0,Ascending,248,7.7
91,5.0,Ascending,80,2.2
92,5.0,Ascending,171,4.9
93,5.0,Ascending,233,4.1
94,5.0,Ascending,254,5.7
95,2.95,Ascending,237,0.0
96,2.95,Ascending,333,2.2
97,3.0,Ascending,236,9.4
98,3.0,Ascending,254,7.0
99,2.3,Ascending,64,2.2
100,2.3,Ascending,78,7.9
101,2.3,Ascending,67,9.3
102,2.0,Ascending,36,8.7
103,2.0,Ascending,88,10.8
104,2.0,Ascending,261,8.7
105,2.75,Ascending,81,9.7
106,2.95,Ascending,314,5.3
107,3.0,Ascending,69,5.2
108,5.0,Ascending,214,3.7
109,5.0,Ascending,318,9.2
110,5.0,Ascending,310,7.7
111,4.0,Ascending,256,1.8
112,4.0,Ascending,308,12.5
113,4.0,Ascending,349,7.0
114,4.0,Ascending,350,1.3
115,4.0,Ascending,8,12.4
116,4.0,Ascending,344,5.2
117,5.0,Ascending,349,4.2
118,5.0,Ascending,350,6.1
119,5.0,Ascending,307,8.8
120,5.0,Ascending,315,6.6
121,5.0,Ascending,344,12.8
122,5.0,Ascending,309,11.5
123,5.0,Ascending,360,0.8
124,5.0,Ascending,223,0.7
125,5.0,Ascending,251,3.3
126,4.0,Ascending,357,2.5
127,4.0,Ascending,360,9.2
128,4.0,Ascending,218,3.4
129,4.0,Ascending,200,1.7
130,5.0,Ascending,108,3.6
131,5.0,Ascending,188,1.1
132,5.0,Ascending,297,7.2
133,5.0,Ascending,14,8.8
134,5.0,Ascending,259,5.3
135,5.0,Ascending,248,1.7
136,5.0,Ascending,284,8.4
137,5.0,Ascending,258,6.0
138,4.0,Ascending,290,9.3
139,4.5,Ascending,281,2.1
140,4.5,Ascending,357,2.8
141,4.5,Ascending,149,3.0
142,4.5,Ascending,175,1.5
143,4.5,Ascending,329,10.5
144,5.0,Ascending,50,5.3
145,5.0,Ascending,108,5.6
146,4.0,Ascending,28,11.6
147,4.0,Ascending,36,6.9
148,4.0,Ascending,69,7.4
149,4.0,Ascending,70,8.4
150,4.0,Ascending,76,9.0
151,5.0,Ascending,33,8.7
152,5.0,Ascending,51,6.1
153,5.0,Ascending,63,4.7
154,5.0,Ascending,92,3.0
155,4.0,Ascending,41,9.3
156,4.0,Ascending,59,7.6
157,5.0,Ascending,31,11.8
158,5.0,Ascending,35,6.4
159,15.7,Ascending,89,8.6
160,15.7,Ascending,324,1.8
161,6.6,Ascending,124,5.1
162,6.6,Ascending,354,1.3
163,21.6,Ascending,302,2.8
164,24.8,Ascending,8,10.1
165,24.8,Ascending,124,5.1
166,24.8,Ascending,193,9.7
167,24.8,Ascending,203,10.4
168,24.8,Ascending,234,11.6
169,24.8,Ascending,250,4.7
170,10.0,Ascending,287,3.3
171,10.0,Ascending,338,2.6
172,9.8,Ascending,213,4.8
173,20.4,Ascending,235,6.3
174,31.4,Ascending,0,0.0
175,31.4,Ascending,135,0.1
176,25.3,Ascending,45,14.4
177,25.3,Ascending,232,9.0
178,13.5,Ascending,179,3.6
179,6.6,Ascending,46,7.6
180,6.6,Ascending,212,1.1
181,22.0,Ascending,22,1.5
182,15.7,Ascending,80,4.5
183,15.7,Ascending,336,0.9
184,43.9,Ascending,242,7.5
185,19.2,Ascending,5,4.0
186,19.2,Ascending,146,6.5
187,19.2,Ascending,319,13.4
188,7.0,Ascending,251,4.6
189,22.9,Ascending,143,6.3
190,22.9,Ascending,347,5.4
191,15.8,Ascending,227,3.4
192,15.9,Ascending,210,2.6
193,9.4,Ascending,311,4.0
194,9.4,Ascending,343,3.8
195,6.6,Ascending,189,1.1
196,15.5,Ascending,257,10.3
197,17.7,Ascending,97,9.3
198,17.7,Ascending,107,5.9
199,14.9,Ascending,56,4.3
200,14.9,Ascending,123,9.3
201,9.4,Ascending,3,8.6
202,9.4,Ascending,176,3.9
203,9.4,Ascending,359,13.6
204,46.9,Ascending,37,14.4
205,46.9,Ascending,254,9.4
206,46.9,Ascending,268,11.1
207,7.6,Ascending,235,4.4
208,21.0,Ascending,27,3.1
209,21.0,Ascending,84,8.3
210,21.0,Ascending,300,9.1
211,35.1,Ascending,146,0.1
212,35.1,Ascending,215,1.7
213,17.1,Ascending,227,5.7
214,6.6,Ascending,110,4.9
215,9.1,Ascending,129,7.8
216,35.2,Ascending,244,9.5
217,35.2,Ascending,276,5.4
218,35.2,Ascending,349,5.0
219,11.6,Ascending,308,4.4
220,11.6,Ascending,318,4.3
221,9.8,Ascending,28,3.8
222,5.0,Descending,223,6.4
223,5.0,Descending,225,5.5
224,5.0,Descending,342,6.3
225,5.0,Descending,318,6.6
226,4.0,Descending,323,7.6
227,4.0,Descending,158,6.6
228,4.0,Descending,338,10.1
229,4.0,Descending,5,10.4
230,4.0,Descending,5,11.5
231,5.0,Descending,1,6.3
232,4.0,Descending,202,1.3
233,5.0,Descending,330,4.2
234,5.0,Descending,344,5.4
235,5.0,Descending,346,8.5
236,5.0,Descending,347,9.6
237,5.0,Descending,309,5.4
238,5.0,Descending,300,6.5
239,4.0,Descending,18,5.8
240,4.0,Descending,360,9.1
241,4.0,Descending,222,3.6
242,5.0,Descending,299,8.2
243,4.5,Descending,348,8.5
244,4.5,Descending,353,5.4
245,4.5,Descending,343,4.2
246,4.5,Descending,334,5.9
247,5.0,Descending,73,7.2
248,5.0,Descending,60,3.9
249,5.0,Descending,88,4.2
250,4.0,Descending,44,5.8
251,24.8,Descending,226,9.7
252,31.4,Descending,287,0.1
253,22.9,Descending,158,9.1
254,9.4,Descending,23,2.2
255,9.4,Descending,351,8.1
256,9.4,Descending,1,11.5
257,6.6,Descending,179,4.8
