sar,station,wdir,wspeed
S1B_IW_GRDH_1SDV_20170520T042241_20170520T042306_005677_009F19_E059,51000,108,5.6
S1B_IW_GRDH_1SDV_20170520T042057_20170520T042126_005677_009F19_5021,51004, 59,7.6
S1A_IW_GRDH_1SDV_20170520T001818_20170520T001843_016658_01BA5D_566B,42035,115,9.8
S1A_IW_GRDH_1SDV_20170520T001818_20170520T001843_016658_01BA5D_566B,srst2,129,7.8
S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C,45004,354,3.1
S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C,stdm4,349,5.0
S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2,45002, 17,4.9
S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2,45022,333,2.2
S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A,45165, 36,8.7
S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A,sbio1, 27,3.1
S1A_IW_GRDH_1SDV_20170519T224307_20170519T224332_016657_01BA57_4FF9,44013, 43,6.9
S1A_IW_GRDH_1SDV_20170519T224307_20170519T224332_016657_01BA57_4FF9,iosn3,319,13.4
S1A_IW_GRDH_1SDV_20170519T224242_20170519T224307_016657_01BA57_D7E2,buzm3,234,11.6
S1A_IW_GRDH_1SDV_20170519T224217_20170519T224242_016657_01BA57_D70F,44066,213,6.4
S1B_IW_GRDH_1SDV_20170519T104833_20170519T104859_005666_009ECB_2CE8,buzm3,226,9.7
S1B_IW_GRDH_1SDV_20170519T104808_20170519T104833_005666_009ECB_B6C5,44013,225,5.5
S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585,44007,223,6.4
S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585,iosn3,241,7.9
S1B_IW_GRDH_1SDV_20170519T035144_20170519T035209_005662_009EA7_BEFD,drfa2, 46,7.6
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,amaa2, 89,8.6
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,auga2,124,5.1
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,fila2, 80,4.5
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46041,223,0.7
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46087,325,2.3
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46088,328,0.8
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46099,257,0.6
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,ttiw1,999,99.0
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46029,360,0.8
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46100,175,1.5
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46243,999,99.0
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46248,999,99.0
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,46050,357,2.5
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,46097,357,2.8
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,nwpo3,343,3.8
S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD,46015,344,5.2
S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD,46260,999,99.0
S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD,46261,999,99.0
S1B_IW_GRDH_1SDV_20170519T020748_20170519T020813_005661_009EA1_6F69,46027,315,6.6
S1B_IW_GRDH_1SDV_20170519T020723_20170519T020748_005661_009EA1_E782,46022,349,4.2
S1B_IW_GRDH_1SDV_20170519T020658_20170519T020723_005661_009EA1_DF1F,46013,308,12.5
S1B_IW_GRDH_1SDV_20170519T020658_20170519T020723_005661_009EA1_DF1F,46014,349,7.0
S1B_IW_GRDH_1SDV_20170519T020658_20170519T020723_005661_009EA1_DF1F,46214,999,99.0
S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,46012,310,7.7
S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,46026,307,8.8
S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,46092,290,9.3
S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,46114,999,99.0
S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,46237,999,99.0
S1B_IW_GRDH_1SDV_20170519T020608_20170519T020633_005661_009EA1_CC52,46028,309,11.5
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,46011,318,9.2
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,46069,297,7.2
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,46218,999,99.0
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,46257,999,99.0
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,46259,999,99.0
S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,ptgc1,  3,8.6
S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4,42036,  8,4.9
S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4,cdrf1,338,2.6
S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4,sgof1,146,0.1
S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4,ktnf1,300,3.0
S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713,42013,348,5.5
S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713,42022,  2,3.6
S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713,42098,999,99.0
S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713,42099,999,99.0
S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713,venf1,318,4.3
S1A_IW_GRDH_1SDV_20170518T233538_20170518T233603_016643_01B9E6_D58F,plsf1, 97,9.3
S1A_IW_GRDH_1SDV_20170518T141604_20170518T141629_016637_01B9B7_C40C,46012,318,6.6
S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824,46013,323,7.6
S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824,46026,330,4.2
S1A_IW_GRDH_1SDV_20170518T141514_20170518T141539_016637_01B9B7_F4A7,46014,338,10.1
S1B_IW_GRDH_1SDV_20170518T043719_20170518T043748_005648_009E41_D46F,51002, 76,9.0
S1A_IW_GRDH_1SDV_20170518T003417_20170518T003442_016629_01B977_CE96,ptat2,123,9.3
S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,42020,133,7.9
S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,42044,124,6.2
S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,42045,999,8.4
S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B,45006, 22,12.1
S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B,disw3, 45,14.4
S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B,roam4, 37,14.4
S1A_IW_GRDH_1SDV_20170517T225943_20170517T230008_016628_01B96F_3FB2,45012,233,4.1
S1A_IW_GRDH_1SDV_20170517T225803_20170517T225828_016628_01B96F_03F1,44058,188,4.9
S1A_IW_GRDH_1SDV_20170517T225803_20170517T225828_016628_01B96F_03F1,44064,999,1.6
S1A_IW_GRDH_1SDV_20170517T225803_20170517T225828_016628_01B96F_03F1,44072,240,4.5
S1A_IW_GRDH_1SDV_20170517T225734_20170517T225803_016628_01B96F_0ACB,41025,228,8.5
S1A_IW_GRDH_1SDV_20170517T225734_20170517T225803_016628_01B96F_0ACB,44014,197,5.7
S1A_IW_GRDH_1SDV_20170516T235351_20170516T235416_016614_01B90A_C531,dpia1,136,4.2
S1A_IW_GRDH_1SDV_20170516T235326_20170516T235351_016614_01B90A_1DC9,42012,126,3.2
S1A_IW_GRDH_1SDV_20170516T235326_20170516T235351_016614_01B90A_1DC9,42040,107,4.2
S1A_IW_GRDH_1SDV_20170516T161443_20170516T161513_016609_01B8DF_5200,51000, 85,9.1
S1A_IW_GRDH_1SDV_20170516T055327_20170516T055403_016603_01B8AF_05F4,46071,999,99.0
S1B_IW_GRDH_1SDV_20170516T045559_20170516T045624_005619_009D6E_0BA0,51001, 88,6.6
S1B_IW_GRDH_1SDV_20170516T045534_20170516T045559_005619_009D6E_B9BA,51101, 84,6.7
S1A_IW_GRDH_1SDV_20170516T023742_20170516T023807_016601_01B8A1_DE52,ffia2,233,1.7
S1A_IW_GRDH_1SDV_20170515T231312_20170515T231337_016599_01B891_9375,41004,221,5.4
S1A_IW_GRDH_1SDV_20170515T231312_20170515T231337_016599_01B891_9375,41013,235,7.2
S1A_IW_GRDH_1SDV_20170515T231222_20170515T231247_016599_01B891_3D56,41010, 77,4.7
S1B_IW_GRDH_1SDV_20170515T222612_20170515T222639_005615_009D56_2D74,mism1,341,9.5
S1A_IW_GRDH_1SDV_20170515T135226_20170515T135258_016593_01B864_3A46,46025,306,3.7
S1A_IW_GRDH_1SDV_20170515T135226_20170515T135258_016593_01B864_3A46,46047,307,9.4
S1A_IW_GRDH_1SDV_20170515T135226_20170515T135258_016593_01B864_3A46,46086,279,9.1
S1B_IW_GRDH_1SDV_20170514T232419_20170514T232448_005601_009CFE_C790,45003,290,5.7
S1B_IW_GRDH_1SDV_20170514T232419_20170514T232448_005601_009CFE_C790,45162,319,4.0
S1A_IW_GRDH_1SDV_20170514T223500_20170514T223525_016584_01B81F_D0AE,44007,330,10.2
S1A_IW_GRDH_1SDV_20170514T223500_20170514T223525_016584_01B81F_D0AE,iosn3,324,12.4
S1A_IW_GRDH_1SDV_20170514T223500_20170514T223525_016584_01B81F_D0AE,mism1, 33,14.2
S1A_IW_GRDH_1SDV_20170514T223431_20170514T223500_016584_01B81F_891E,44013,323,11.3
S1A_IW_GRDH_1SDV_20170514T223431_20170514T223500_016584_01B81F_891E,buzm3,313,11.0
S1A_IW_GRDH_1SDV_20170514T042323_20170514T042348_016573_01B7BD_FC97,51000, 77,9.7
S1A_IW_GRDH_1SDV_20170514T042139_20170514T042208_016573_01B7BD_F1FF,51004, 71,10.9
S1B_IW_GRDH_1SDV_20170514T015758_20170514T015823_005588_009C97_6459,46215,999,99.0
S1B_IW_GRDH_1SDV_20170514T015733_20170514T015758_005588_009C97_B0A5,46011,322,13.4
S1B_IW_GRDH_1SDV_20170514T015733_20170514T015758_005588_009C97_B0A5,46025,268,3.1
S1B_IW_GRDH_1SDV_20170514T015733_20170514T015758_005588_009C97_B0A5,46053,280,10.9
S1B_IW_GRDH_1SDV_20170514T015733_20170514T015758_005588_009C97_B0A5,46069,304,15.2
S1B_IW_GRDH_1SDV_20170514T015733_20170514T015758_005588_009C97_B0A5,ptgc1,359,12.5
S1B_IW_GRDH_1SDV_20170514T015704_20170514T015733_005588_009C97_EF6F,46047,316,12.0
S1B_IW_GRDH_1SDV_20170514T015704_20170514T015733_005588_009C97_EF6F,46086,295,8.0
S1A_IW_GRDH_1SDV_20170513T232858_20170513T232923_016570_01B7A7_1299,sauf1,224,5.3
S1A_IW_GRDH_1SDV_20170513T232833_20170513T232858_016570_01B7A7_7306,41009,359,2.6
S1A_IW_GRDH_1SDV_20170513T232743_20170513T232808_016570_01B7A7_CFE4,fwyf1,208,8.4
S1A_IW_GRDH_1SDV_20170513T232743_20170513T232808_016570_01B7A7_CFE4,mlrf1,247,4.7
S1A_IW_GRDH_1SDV_20170513T232718_20170513T232743_016570_01B7A7_6F1D,lonf1,251,4.3
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,46011,336,10.6
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,46028,330,14.3
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,46218,999,99.0
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,46257,999,99.0
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,46259,999,99.0
S1A_IW_GRDH_1SDV_20170513T140811_20170513T140839_016564_01B775_EC78,ptgc1,346,12.9
S1A_IW_GRDH_1SDV_20170512T225027_20170512T225052_016555_01B730_9928,44025,132,3.8
S1A_IW_GRDH_1SDV_20170512T225027_20170512T225052_016555_01B730_9928,44065,179,3.3
S1A_IW_GRDH_1SDV_20170512T225027_20170512T225052_016555_01B730_9928,44066, 61,3.8
S1A_IW_GRDH_1SDV_20170512T224912_20170512T224937_016555_01B730_462F,41001,116,5.9
S1A_IW_GRDH_1SDV_20170512T164726_20170512T164755_016551_01B70E_4EEA,51001,130,9.4
S1A_IW_GRDH_1SDV_20170512T164726_20170512T164755_016551_01B70E_4EEA,51101,135,9.1
S1B_IW_GRDH_1SDV_20170512T155933_20170512T160002_005567_009BFF_B133,51004, 80,8.5
S1A_IW_GRDH_1SDV_20170512T043800_20170512T043829_016544_01B6CF_9EA8,51002, 81,8.0
S1B_IW_GRDH_1SDV_20170512T021720_20170512T021745_005559_009BCA_6880,46100,174,3.2
S1B_IW_GRDH_1SDV_20170512T021655_20170512T021720_005559_009BCA_134F,46050,197,7.6
S1B_IW_GRDH_1SDV_20170512T021630_20170512T021655_005559_009BCA_5CF1,46015,214,9.8
S1B_IW_GRDH_1SDV_20170512T021605_20170512T021630_005559_009BCA_207A,46027,152,6.1
S1B_IW_GRDH_1SDV_20170512T021540_20170512T021605_005559_009BCA_0116,46022,188,4.9
S1B_IW_GRDH_1SDV_20170512T021515_20170512T021540_005559_009BCA_D993,46014,183,1.2
S1A_IW_GRDH_1SDV_20170511T234503_20170511T234528_016541_01B6BC_FDD0,42036,288,3.2
S1A_IW_GRDH_1SDV_20170511T234503_20170511T234528_016541_01B6BC_FDD0,42039,160,1.4
S1A_IW_GRDH_1SDV_20170511T234503_20170511T234528_016541_01B6BC_FDD0,sgof1,254,5.0
S1B_IW_GRDH_1SDV_20170511T225906_20170511T225935_005557_009BBB_5829,45012, 71,4.3
S1A_IW_GRDH_1SDV_20170511T142244_20170511T142309_016535_01B68A_2E5D,46027,187,8.8
S1A_IW_GRDH_1SDV_20170511T142150_20170511T142219_016535_01B68A_20D4,46029,230,5.7
S1A_IW_GRDH_1SDV_20170511T110938_20170511T111007_016533_01B67C_09D0,spgf1,232,4.5
S1B_IW_GRDH_1SDV_20170511T031848_20170511T031917_005545_009B64_6406,46061,226,2.0
S1B_IW_GRDH_1SDV_20170511T031848_20170511T031917_005545_009B64_6406,blia2,231,2.0
S1B_IW_GRDH_1SDV_20170511T031848_20170511T031917_005545_009B64_6406,mrka2,205,9.1
S1A_IW_GRDH_1SDV_20170510T230744_20170510T230809_016526_01B64A_B971,dbln6, 49,7.6
S1A_IW_GRDH_1SDV_20170510T230604_20170510T230629_016526_01B64A_D28F,44041, 82,3.7
S1A_IW_GRDH_1SDV_20170510T230604_20170510T230629_016526_01B64A_D28F,44056,999,99.0
S1A_IW_GRDH_1SDV_20170510T230604_20170510T230629_016526_01B64A_D28F,44064,999,6.3
S1A_IW_GRDH_1SDV_20170510T230604_20170510T230629_016526_01B64A_D28F,44072,142,6.9
S1A_IW_GRDH_1SDV_20170510T230604_20170510T230629_016526_01B64A_D28F,44100,999,99.0
S1A_IW_GRDH_1SDV_20170510T230539_20170510T230604_016526_01B64A_0DFB,41025, 19,1.7
S1A_IW_GRDH_1SDV_20170510T230539_20170510T230604_016526_01B64A_0DFB,41063,178,1.1
S1A_IW_GRDH_1SDV_20170510T230539_20170510T230604_016526_01B64A_0DFB,clkn7,131,3.0
S1A_IW_GRDH_1SDV_20170510T230514_20170510T230539_016526_01B64A_7952,41037,168,3.4
S1A_IW_GRDH_1SDV_20170510T230514_20170510T230539_016526_01B64A_7952,41038,147,3.7
S1A_IW_GRDH_1SDV_20170510T230514_20170510T230539_016526_01B64A_7952,41064,186,3.3
S1A_IW_GRDH_1SDV_20170510T230449_20170510T230514_016526_01B64A_0B19,41002,282,8.5
S1B_IW_GRDH_1SDV_20170510T161400_20170510T161429_005538_009B37_53B8,51000, 83,6.9
S1A_IW_GRDH_1SDV_20170509T222702_20170509T222731_016511_01B5E3_DE81,mism1,256,4.1
S1B_IW_GRDH_1SDV_20170509T033512_20170509T033541_005516_009AA2_F4CE,46061,108,2.5
S1B_IW_GRDH_1SDV_20170509T033512_20170509T033541_005516_009AA2_F4CE,46076, 32,5.6
S1B_IW_GRDH_1SDV_20170509T033512_20170509T033541_005516_009AA2_F4CE,46081,262,2.7
S1B_IW_GRDH_1SDV_20170509T033512_20170509T033541_005516_009AA2_F4CE,pila2,356,2.0
S1B_IW_GRDH_1SDV_20170509T014854_20170509T014919_005515_009A9E_37D7,46086,282,11.1
S1A_IW_GRDH_1SDV_20160506T104909_20160506T104934_011137_010CC4_7635,44017, 64,9.1
S1A_IW_GRDH_1SDV_20160506T104909_20160506T104934_011137_010CC4_7635,buzm3, 28,8.4
S1A_IW_GRDH_1SDV_20160423T101336_20160423T101401_010947_0106C5_0920,41043, 78,7.8
S1A_IW_GRDH_1SDV_20160420T222647_20160420T222714_010911_0105A7_C058,44005,203,2.9
S1A_IW_GRDH_1SDV_20160420T222647_20160420T222714_010911_0105A7_C058,44027, 11,2.2
S1A_IW_GRDH_1SDV_20160420T222647_20160420T222714_010911_0105A7_C058,mdrm1,239,5.5
S1A_IW_GRDH_1SDV_20160420T222647_20160420T222714_010911_0105A7_C058,mism1,237,7.3
S1A_IW_GRDH_1SDV_20160412T104908_20160412T104933_010787_0101F1_0512,44017,212,11.2
S1A_IW_GRDH_1SDV_20160412T104908_20160412T104933_010787_0101F1_0512,buzm3,201,11.3
S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,44013,202,6.7
S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,44018, 12,0.3
S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,44020,211,13.4
S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,buzm3,209,13.2
S1A_IW_GRDH_1SDV_20160330T101335_20160330T101400_010597_00FC3E_C3AA,41043,100,8.9
S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,44005,156,3.2
S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,44027,180,3.4
S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,mdrm1,156,3.6
S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,mism1,198,4.0
S1A_IW_GRDH_1SDV_20160319T104907_20160319T104933_010437_00F7B0_323F,44017,343,7.6
S1A_IW_GRDH_1SDV_20160319T104907_20160319T104933_010437_00F7B0_323F,buzm3,359,5.9
S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,44005, 86,12.4
S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,44027,113,11.2
S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,mdrm1, 83,14.5
S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,mism1, 94,15.2
S1A_IW_GRDH_1SDV_20160306T101334_20160306T101359_010247_00F241_6199,41043,117,4.3
S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,44005,266,6.6
S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,44027,274,9.3
S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,mdrm1,265,9.7
S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,mism1,291,8.6
S1A_IW_GRDH_1SDV_20160224T104907_20160224T104932_010087_00EDCC_B9FB,44017, 91,10.4
S1A_IW_GRDH_1SDV_20160224T104907_20160224T104932_010087_00EDCC_B9FB,buzm3, 58,8.7
S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,44005,211,10.2
S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,44027,199,10.1
S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,mdrm1,193,10.5
S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,mism1,203,13.6
S1A_IW_GRDH_1SDV_20160211T101334_20160211T101359_009897_00E830_EBB1,41043,109,6.4
S1A_IW_GRDH_1SDV_20160131T104907_20160131T104932_009737_00E395_9637,44017,236,8.5
S1A_IW_GRDH_1SDV_20160131T104907_20160131T104932_009737_00E395_9637,buzm3,237,6.4
S1A_IW_GRDH_1SDV_20160118T101335_20160118T101400_009547_00DDF9_78ED,41043,147,3.4
S1A_IW_GRDH_1SDV_20160110T221737_20160110T221806_009438_00DADC_26EB,44011,133,10.6
S1A_IW_GRDH_1SDV_20160107T104908_20160107T104933_009387_00D96B_56C2,44017,273,4.3
S1A_IW_GRDH_1SDV_20160107T104908_20160107T104933_009387_00D96B_56C2,buzm3,268,6.5
S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,44013,254,7.5
S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,44020,267,7.8
S1A_IW_GRDH_1SDV_20161221T223437_20161221T223506_014484_01781F_2D83,buzm3,266,8.3
S1B_IW_GRDH_1SDV_20161216T051148_20161216T051217_003417_005D64_85DC,46072,221,16.9
S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,44013,308,10.9
S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,44018,312,11.5
S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,44020,265,4.5
S1A_IW_GRDH_1SDV_20161209T223437_20161209T223506_014309_0172A8_1024,buzm3,293,12.4
S1A_IW_GRDH_1SDV_20161127T223437_20161127T223506_014134_016D1C_528B,44013,321,9.2
S1A_IW_GRDH_1SDV_20161127T223437_20161127T223506_014134_016D1C_528B,44018,306,9.6
S1A_IW_GRDH_1SDV_20161127T223437_20161127T223506_014134_016D1C_528B,buzm3,320,10.9
S1B_IW_GRDH_1SDV_20161122T051148_20161122T051218_003067_005373_25F1,46072,266,14.4
S1A_IW_GRDH_1SDV_20161115T223438_20161115T223507_013959_0167C3_EA97,44013, 69,10.1
S1A_IW_GRDH_1SDV_20161115T223438_20161115T223507_013959_0167C3_EA97,44018, 86,9.6
S1A_IW_GRDH_1SDV_20161115T223438_20161115T223507_013959_0167C3_EA97,buzm3,128,13.3
S1A_IW_GRDH_1SDV_20161103T223438_20161103T223507_013784_01624D_47D3,44013,302,10.6
